,Unnamed: 0,station_id,station_name,station_latitude,station_longitude,state,city,neighbourhood
183,442,284.0,Yerba Buena Center for the Arts (Howard St at 3rd St),37.7848720844,-122.4008756876,California,San Francisco,
184,456,155.0,Emeryville Public Market,37.8405211669,-122.2935283184,California,,
185,458,317.0,San Salvador St at 9th St,37.333955,-121.877349,California,San Jose,Naglee Park
186,461,59.0,S Van Ness Ave at Market St,37.774814,-122.418954,California,San Francisco,Hayes Valley
187,470,19.0,Post St at Kearny St,37.788975,-122.403452,California,San Francisco,Union Square
188,471,224.0,21st Ave at International Blvd,37.7848546623,-122.239304781,California,Oakland,San Antonio
189,476,291.0,Autumn Parkway at Coleman Ave,37.3413348,-121.9031829,California,San Jose,Little Italy
190,478,355.0,23rd St at Tennessee St,37.7553671322,-122.3887950182,California,San Francisco,Dogpatch
191,484,237.0,Fruitvale BART Station,37.7752321,-122.2244982,California,Oakland,
192,488,60.0,8th St at Ringold St,37.7745204011,-122.4094493687,California,San Francisco,West SoMa
193,501,96.0,Dolores St at 15th St,37.7662102,-122.4266136,California,San Francisco,Noe Valley
194,502,168.0,Alcatraz Ave at Shattuck Ave,37.8495949678,-122.2655689716,California,Oakland,Lorin
195,505,46.0,San Antonio Park,37.7901398519,-122.2423732281,California,Oakland,San Antonio
196,506,313.0,Almaden Blvd at San Fernando St,37.331415,-121.8932,California,San Jose,Downtown Historic District
197,509,23.0,The Embarcadero at Steuart St,37.791464,-122.391034,California,San Francisco,
198,515,142.0,Guerrero Park,37.7457387962,-122.4221402407,California,San Francisco,
199,516,340.0,Harmon St at Adeline St,37.849735,-122.270582,California,Berkeley,Lorin
200,519,194.0,Lakeshore Ave at Trestle Glen Rd,37.8110807,-122.2432677,California,Oakland,Lakeshore
201,528,108.0,16th St Mission BART,37.7647100858,-122.4199569225,California,San Francisco,Mission District
202,529,282.0,Market St at Park St,37.3324263013,-121.8903493881,California,San Jose,Downtown Historic District
203,534,176.0,MacArthur BART Station,37.8284099731,-122.2663146257,California,Oakland,Mosswood
204,538,259.0,Addison St at Fourth St,37.866249,-122.2993708,California,Berkeley,West Berkeley
205,540,265.0,Ninth St at Parker St,37.8588682,-122.2912095,California,Berkeley,San Pablo Park
206,545,63.0,Bryant St at 6th St,37.7759102223,-122.4025750067,California,San Francisco,West SoMa
207,550,192.0,37th St at West St,37.8266955864,-122.271797061,California,Oakland,
208,554,263.0,Channing Way at San Pablo Ave,37.8628271,-122.2902305,California,Berkeley,Poets Corner
209,568,146.0,30th St at San Jose Ave,37.7423139,-122.4231805,California,San Francisco,
210,579,97.0,14th St at Mission St,37.7682646,-122.4201102,California,San Francisco,
211,580,80.0,Townsend St at 5th St,37.7752348686,-122.3974370956,California,San Francisco,South of Market
212,583,339.0,Jackson St at 11th St,37.8000016312,-122.2664380074,California,Oakland,Civic Center
213,593,134.0,Valencia St at 24th St,37.7524278,-122.4206278,California,San Francisco,Noe Valley
214,608,373.0,Potrero del Sol Park (25th St at Utah St),37.7517916453,-122.4052155018,California,San Francisco,Potrero Terrace
215,617,100.0,Bryant St at 15th St,37.7671004,-122.410662,California,San Francisco,
216,634,125.0,20th St at Bryant St,37.7592005,-122.409851,California,San Francisco,Mission District
217,652,43.0,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292,California,San Francisco,Civic Center
218,666,39.0,Scott St at Golden Gate Ave,37.7789994,-122.4368608,California,San Francisco,Western Addition
219,683,214.0,Market St at Brockhurst St,37.8233214,-122.2757325,California,Oakland,Hoover-Foster
220,688,369.0,Hyde St at Post St,37.7873490232,-122.4166510999,California,San Francisco,Tenderloin
221,690,193.0,Grand Ave at Santa Clara Ave,37.8127441,-122.2472152,California,Oakland,Grand Lake
222,694,207.0,Broadway at Coronado Ave,37.8357883,-122.2516207,California,Oakland,Temescal
223,700,337.0,Webster St at 19th St,37.806969761,-122.2665882111,California,Oakland,Financial District
224,718,157.0,65th St at Hollis St,37.8467842,-122.2913761,California,,
225,721,381.0,20th St at Dolores St,37.7582384242,-122.4260938168,California,San Francisco,Mission District
226,722,368.0,Myrtle St at Polk St,37.7854338279,-122.4196216464,California,San Francisco,Tenderloin
227,740,145.0,29th St at Church St,37.7436839,-122.4268059,California,San Francisco,Noe Valley
228,775,144.0,Precita Park,37.7472996,-122.4114029,California,San Francisco,Bernal Heights
229,793,37.0,2nd St at Folsom St,37.7849997283,-122.3959356175,California,San Francisco,Transbay
230,796,72.0,Page St at Scott St,37.772406,-122.4356498,California,San Francisco,Western Addition
231,822,380.0,Masonic Ave at Turk St,37.7790466585,-122.4472913146,California,San Francisco,Haight-Ashbury
232,837,153.0,59th St at Horton St,37.8409452,-122.2913604,California,,
233,842,105.0,16th St at Prosper St,37.764285,-122.4318042,California,San Francisco,Duboce Triangle
234,843,210.0,45th St at Manila,37.8332935222,-122.2562241554,California,Oakland,Temescal
235,846,131.0,22nd St at Dolores St,37.7550002604,-122.4257276952,California,San Francisco,Noe Valley
236,847,167.0,College Ave at Harwood Ave,37.848152,-122.2521599,California,Oakland,Rockridge
237,852,327.0,5th St at San Salvador St,37.332038681,-121.8817663193,California,San Jose,SoFA
238,858,281.0,9th St at San Fernando St,37.3383952,-121.8807965,California,San Jose,
239,883,147.0,29th St at Tiffany Ave,37.7440667,-122.4214722,California,San Francisco,
240,885,372.0,Madison St at 17th St,37.804036784,-122.2624093294,California,Oakland,Lakeside
241,905,206.0,College Ave at Bryant Ave,37.8381269,-122.2512714,California,Oakland,Rockridge
242,911,160.0,West Oakland BART Station,37.8053183,-122.2948365,California,Oakland,South Prescott
243,948,91.0,Berry St at King St,37.7717621103,-122.3984375596,California,San Francisco,Mission Bay
244,973,309.0,San Jose City Hall,37.337391,-121.886995,California,San Jose,
245,997,204.0,55th St at Telegraph Ave,37.8401858,-122.2618225,California,Oakland,Idora Park
246,1017,53.0,Grove St at Divisadero,37.775946,-122.4377775,California,San Francisco,Western Addition
247,1019,213.0,32nd St at Adeline St,37.8238474,-122.2811926,California,Oakland,Hoover-Foster
248,1035,158.0,Shattuck Ave at Telegraph Ave,37.8332786,-122.2634901,California,Oakland,Temescal
249,1071,219.0,Marston Campbell Park,37.8098236,-122.2801923,California,Oakland,San Pablo Gateway
250,1094,102.0,Irwin St at 8th St,37.7668828,-122.3995794,California,San Francisco,
251,1113,242.0,Milvia St at Derby St,37.8601245991,-122.269384414,California,Berkeley,South Berkeley
252,1120,149.0,Emeryville Town Hall,37.8312752,-122.2856333,California,,
253,1152,248.0,Telegraph Ave at Ashby Ave,37.8559558,-122.2597949,California,Berkeley,Elmwood
254,1202,289.0,5th St at Taylor St,37.3510173,-121.8959209,California,San Jose,Hensley Historic District
255,1237,162.0,Franklin St at 9th St,37.8005161,-122.2720799,California,Oakland,Chinatown
256,1259,186.0,Lakeside Dr at 14th St,37.8013189,-122.2626418,California,Oakland,Lakeside
257,1298,169.0,Bushrod Park,37.8465156,-122.2653043,California,Oakland,Idora Park
258,1314,140.0,Cesar Chavez St at Dolores St,37.7478584,-122.4249863,California,San Francisco,Noe Valley
259,1380,360.0,Newhall St at 3rd St,37.7385718713,-122.3896177858,California,San Francisco,Bayview District
260,1427,232.0,MLK Jr Way at 14th St,37.8061628,-122.2760402,California,Oakland,San Pablo Gateway
